date_heure,nom_pizza,quantite,prix_total,taille,categorie
2026-01-01 14:23:01,Chicken BBQ,1,18.99,Large,Les Grands Classiques
2026-01-01 14:23:01,Forestière,1,20.49,Large,Les Grands Classiques
2026-01-01 14:23:01,Originale Pepperoni,1,15.99,Large,Les Bons Plans
2026-01-01 14:23:01,Cannibale,1,17.49,Medium,Les Iconiques
2026-01-01 14:44:44,Urban Kebab,1,20.49,Large,Les Originales
2026-01-01 14:44:44,Hawaïenne Poulet,1,20.99,XL,Les Grands Classiques
2026-01-01 14:54:26,Extravaganzza,1,17.99,Medium,Toujours Plus
2026-01-01 14:54:26,Peppina Vegan,1,22.99,XL,Les Vegans
2026-01-01 15:11:17,Chicken BBQ,1,21.99,XL,Les Grands Classiques
2026-01-01 15:11:17,Extravaganzza,1,20.99,Large,Toujours Plus
2026-01-01 15:11:17,Margherita,1,18.99,XL,Les Bons Plans
2026-01-01 15:35:46,Indienne,1,15.99,Medium,Les Grands Classiques
2026-01-01 15:41:01,Super Veggie,1,17.49,Medium,Les Gourmandes Veggies
2026-01-01 15:41:25,Hawaïenne Poulet,1,20.99,XL,Les Grands Classiques
2026-01-01 15:50:18,Royale Veggie,1,18.99,Large,Les Gourmandes Veggies
2026-01-01 15:50:18,Originale Pepperoni,1,12.99,Medium,Les Bons Plans
2026-01-01 15:53:18,Ultimate Meat,1,17.99,Medium,Toujours Plus
2026-01-01 15:53:18,Super Veggie,1,23.49,XL,Les Gourmandes Veggies
2026-01-01 15:53:18,Forestière,1,23.49,XL,Les Grands Classiques
2026-01-01 15:53:18,Pepperoni Party,1,20.49,Large,Les Iconiques
2026-01-01 15:54:08,Chicken BBQ,1,21.99,XL,Les Grands Classiques
2026-01-01 15:54:08,Super Veggie,1,17.49,Medium,Les Gourmandes Veggies
2026-01-01 16:21:21,Steak and Cheese,1,14.99,Medium,Les Grands Classiques
2026-01-01 16:32:04,Super Veggie,1,20.49,Large,Les Gourmandes Veggies
2026-01-01 16:32:04,Diavola Pepperoni,1,21.99,XL,Les Originales
2026-01-01 16:32:04,Originale Pepperoni,1,15.99,Large,Les Bons Plans
2026-01-01 16:32:04,Hawaïenne Poulet,1,20.99,XL,Les Grands Classiques
2026-01-01 16:54:09,Chicken BBQ,1,18.99,Large,Les Grands Classiques
2026-01-01 16:54:09,Extravaganzza,1,20.99,Large,Toujours Plus
2026-01-01 16:56:09,Pepperoni Party,1,23.49,XL,Les Iconiques
2026-01-01 16:56:09,Royale Veggie,1,21.99,XL,Les Gourmandes Veggies
2026-01-01 17:03:00,Hawaïenne Jambon,1,14.99,Medium,Les Grands Classiques
2026-01-01 17:03:00,Forestière,1,23.49,XL,Les Grands Classiques
2026-01-01 17:07:23,Pepperoni Party,1,23.49,XL,Les Iconiques
2026-01-01 17:14:36,Chèvre-Miel,1,21.99,XL,Les Iconiques
2026-01-01 17:14:36,Algérienne,1,15.99,Medium,Les Grands Classiques
2026-01-01 17:15:20,Chèvre-Miel,1,18.99,Large,Les Iconiques
2026-01-01 17:15:20,Super Veggie,1,17.49,Medium,Les Gourmandes Veggies
2026-01-01 17:28:09,Ultimate Meat,1,17.99,Medium,Toujours Plus
2026-01-01 17:28:09,Divine 3 Fromages,1,21.99,XL,Éditions Limitées
2026-01-01 17:28:09,Royale Veggie,1,21.99,XL,Les Gourmandes Veggies
2026-01-01 17:28:09,Crispy Cannibale,1,20.99,Large,Les Originales
2026-01-01 17:38:34,Indienne,1,18.99,Large,Les Grands Classiques
2026-01-01 17:38:34,Pepperoni Party,1,20.49,Large,Les Iconiques
2026-01-01 17:38:34,Crispy Cannibale,1,23.99,XL,Les Originales
2026-01-01 17:54:20,Cheesy and Veggie,1,14.99,Medium,Les Gourmandes Veggies
2026-01-01 17:55:48,Chèvre-Miel,1,21.99,XL,Les Iconiques
2026-01-01 17:55:48,Hawaïenne Jambon,1,14.99,Medium,Les Grands Classiques
2026-01-01 17:55:48,Hawaïenne Poulet,1,17.99,Large,Les Grands Classiques
2026-01-01 18:25:51,Bacon Groovy,1,23.49,XL,Les Iconiques
2026-01-01 18:25:51,Extravaganzza,1,23.99,XL,Toujours Plus
2026-01-01 18:25:51,Hawaïenne Poulet,1,17.99,Large,Les Grands Classiques
2026-01-01 18:26:34,Algérienne,1,21.99,XL,Les Grands Classiques
2026-01-01 18:26:34,Peppina Vegan,1,16.99,Medium,Les Vegans
2026-01-01 18:26:42,Bacon Groovy,1,20.49,Large,Les Iconiques
2026-01-01 18:26:42,Super Veggie,1,17.49,Medium,Les Gourmandes Veggies
2026-01-01 18:26:42,Cannibale,1,23.49,XL,Les Iconiques
2026-01-01 18:26:42,Kebab and Spicy,1,21.99,XL,Les Originales
2026-01-01 18:33:00,Urban Kebab,1,23.49,XL,Les Originales
2026-01-01 18:41:01,Steak and Cheese,1,20.99,XL,Les Grands Classiques
2026-01-01 18:48:28,Chicken BBQ,1,21.99,XL,Les Grands Classiques
2026-01-01 18:48:28,Diavola Pepperoni,1,21.99,XL,Les Originales
2026-01-01 18:53:02,Hawaïenne Jambon,1,20.99,XL,Les Grands Classiques
2026-01-01 18:53:02,Royale Veggie,1,21.99,XL,Les Gourmandes Veggies
2026-01-01 18:53:02,Kebab and Spicy,1,21.99,XL,Les Originales
2026-01-01 18:54:17,Diavola Pepperoni,1,15.99,Medium,Les Originales
2026-01-01 18:54:17,Chicken and Cheddar,1,20.49,Large,Éditions Limitées
2026-01-01 19:01:45,Cannibale,1,20.49,Large,Les Iconiques
2026-01-01 19:01:45,Hawaïenne Poulet,1,20.99,XL,Les Grands Classiques
2026-01-01 19:03:19,Crispy Cannibale,1,17.99,Medium,Les Originales
2026-01-01 19:03:19,Kebab and Spicy,1,21.99,XL,Les Originales
2026-01-01 19:07:00,Extravaganzza,1,20.99,Large,Toujours Plus
2026-01-01 19:07:00,Rocket Veggie,1,18.99,XL,Les Gourmandes Veggies
2026-01-01 19:07:00,Algérienne,1,18.99,Large,Les Grands Classiques
2026-01-01 19:10:51,Extravaganzza,1,20.99,Large,Toujours Plus
2026-01-01 19:30:40,Divine 3 Fromages,1,21.99,XL,Éditions Limitées
2026-01-01 19:30:40,Originale Pepperoni,1,15.99,Large,Les Bons Plans
2026-01-01 19:40:08,Peppina,1,16.99,Medium,Les Gourmandes Veggies
2026-01-01 19:40:08,Diavola Pepperoni,1,15.99,Medium,Les Originales
2026-01-01 19:40:08,Originale Pepperoni,1,18.99,XL,Les Bons Plans
2026-01-01 20:05:16,Bacon Groovy,1,23.49,XL,Les Iconiques
2026-01-01 20:05:16,Chèvre-Miel,1,18.99,Large,Les Iconiques
2026-01-01 20:08:43,Chicken BBQ,1,18.99,Large,Les Grands Classiques
2026-01-01 20:08:43,Pepperoni Party,1,23.49,XL,Les Iconiques
2026-01-01 20:50:16,Chicken BBQ,1,18.99,Large,Les Grands Classiques
2026-01-01 20:50:16,Chicken and Cheddar,1,20.49,Large,Éditions Limitées
2026-01-01 20:51:42,Diavola Pepperoni,1,18.99,Large,Les Originales
2026-01-01 20:52:08,Ultimate Meat,1,17.99,Medium,Toujours Plus
2026-01-01 21:16:00,Diavola Pepperoni,1,15.99,Medium,Les Originales
2026-01-01 21:16:00,Urban Kebab,1,17.49,Medium,Les Originales
2026-01-01 21:16:00,Kebab and Spicy,1,15.99,Medium,Les Originales
2026-01-01 21:16:00,Chicken and Cheddar,1,20.49,Large,Éditions Limitées
2026-01-01 21:47:55,Extravaganzza,1,20.99,Large,Toujours Plus
2026-01-01 21:47:55,Forestière,1,20.49,Large,Les Grands Classiques
2026-01-01 22:03:40,Algérienne,1,21.99,XL,Les Grands Classiques
2026-01-01 22:07:32,Extravaganzza,1,20.99,Large,Toujours Plus
2026-01-01 22:07:32,Pepperoni Party,1,23.49,XL,Les Iconiques
2026-01-01 22:07:32,Pepperoni Party,1,20.49,Large,Les Iconiques
2026-01-01 22:12:13,Chicken BBQ,1,21.99,XL,Les Grands Classiques
2026-01-02 11:38:51,Peppina,1,16.99,Medium,Les Gourmandes Veggies
2026-01-02 11:38:51,Beef and Cheddar,1,23.99,XL,Éditions Limitées
2026-01-02 11:40:50,Hawaïenne Poulet,1,20.99,XL,Les Grands Classiques
2026-01-02 11:57:25,Margherita,1,18.99,XL,Les Bons Plans
2026-01-02 11:58:56,Hawaïenne Poulet,1,14.99,Medium,Les Grands Classiques
2026-01-02 12:01:12,Divine 3 Fromages,1,21.99,XL,Éditions Limitées
2026-01-02 12:01:12,Royale Veggie,1,21.99,XL,Les Gourmandes Veggies
2026-01-02 12:01:12,Cheesy and Veggie,1,14.99,Medium,Les Gourmandes Veggies
2026-01-02 12:01:12,Chicken and Cheddar,1,23.49,XL,Éditions Limitées
2026-01-02 12:10:15,Pepperoni Party,1,17.49,Medium,Les Iconiques
2026-01-02 12:10:15,Rocket Veggie,1,18.99,XL,Les Gourmandes Veggies
2026-01-02 12:10:15,Pêcheur,1,21.99,XL,Les Grands Classiques
2026-01-02 12:21:17,Ultimate Meat,1,17.99,Medium,Toujours Plus
2026-01-02 12:21:17,Hawaïenne Jambon,1,20.99,XL,Les Grands Classiques
2026-01-02 12:21:17,Peppina,1,22.99,XL,Les Gourmandes Veggies
2026-01-02 12:21:17,Kebab and Spicy,1,21.99,XL,Les Originales
2026-01-02 12:22:46,Chicken BBQ,1,18.99,Large,Les Grands Classiques
2026-01-02 12:22:46,Hawaïenne Jambon,1,17.99,Large,Les Grands Classiques
2026-01-02 12:28:14,Ultimate Meat,1,17.99,Medium,Toujours Plus
2026-01-02 12:28:14,Extravaganzza,1,17.99,Medium,Toujours Plus
2026-01-02 12:28:14,Chèvre-Miel,1,21.99,XL,Les Iconiques
2026-01-02 12:28:14,Forestière,1,20.49,Large,Les Grands Classiques
2026-01-02 12:28:14,Kebab and Spicy,3,65.97,XL,Les Originales
2026-01-02 12:28:14,Hawaïenne Poulet,1,14.99,Medium,Les Grands Classiques
2026-01-02 12:29:11,Forestière,1,23.49,XL,Les Grands Classiques
2026-01-02 12:29:11,Diavola Pepperoni,1,15.99,Medium,Les Originales
2026-01-02 12:29:11,Hawaïenne Poulet,1,20.99,XL,Les Grands Classiques
2026-01-02 12:35:38,Originale Pepperoni,1,12.99,Medium,Les Bons Plans
2026-01-02 12:35:38,Hawaïenne Poulet,1,17.99,Large,Les Grands Classiques
2026-01-02 12:40:01,Hawaïenne Poulet,1,20.99,XL,Les Grands Classiques
2026-01-02 12:45:51,Ultimate Meat,1,17.99,Medium,Toujours Plus
2026-01-02 12:45:51,Chicken Delight,1,18.99,Large,Les Originales
2026-01-02 12:45:51,Kebab and Spicy,1,21.99,XL,Les Originales
2026-01-02 12:45:51,Peppina Vegan,1,19.99,Large,Les Vegans
2026-01-02 12:53:27,Algérienne,1,15.99,Medium,Les Grands Classiques
2026-01-02 13:13:41,Originale Pepperoni,1,18.99,XL,Les Bons Plans
2026-01-02 13:34:49,Extravaganzza,1,20.99,Large,Toujours Plus
2026-01-02 13:34:49,Extravaganzza,1,17.99,Medium,Toujours Plus
2026-01-02 13:34:49,Pepperoni Party,1,23.49,XL,Les Iconiques
2026-01-02 13:34:49,Steak and Cheese,1,17.99,Large,Les Grands Classiques
2026-01-02 13:40:31,Hawaïenne Jambon,1,20.99,XL,Les Grands Classiques
2026-01-02 14:01:02,Forestière,1,20.49,Large,Les Grands Classiques
2026-01-02 14:01:02,Royale Veggie,1,18.99,Large,Les Gourmandes Veggies
2026-01-02 14:01:02,Chicken and Cheddar,1,23.49,XL,Éditions Limitées
2026-01-02 14:01:02,Chicken and Cheddar,1,17.49,Medium,Éditions Limitées
2026-01-02 14:10:08,Divine 3 Fromages,1,21.99,XL,Éditions Limitées
2026-01-02 14:30:19,Beef and Cheddar,1,23.99,XL,Éditions Limitées
2026-01-02 14:30:19,Hawaïenne Poulet,1,20.99,XL,Les Grands Classiques
2026-01-02 15:08:48,Urban Kebab,1,23.49,XL,Les Originales
2026-01-02 15:08:48,Hawaïenne Poulet,1,14.99,Medium,Les Grands Classiques
2026-01-02 15:14:43,Chicken BBQ,2,43.98,XL,Les Grands Classiques
2026-01-02 15:14:43,Bacon Groovy,1,17.49,Medium,Les Iconiques
2026-01-02 15:14:43,Originale Pepperoni,1,12.99,Medium,Les Bons Plans
2026-01-02 15:17:02,Chicken BBQ,1,18.99,Large,Les Grands Classiques
2026-01-02 15:17:02,Pepperoni Party,1,23.49,XL,Les Iconiques
2026-01-02 15:17:02,Pepperoni Party,1,20.49,Large,Les Iconiques
2026-01-02 15:17:02,Peppina,1,16.99,Medium,Les Gourmandes Veggies
2026-01-02 15:17:02,Originale Pepperoni,1,15.99,Large,Les Bons Plans
2026-01-02 15:17:02,Crispy Cannibale,1,20.99,Large,Les Originales
2026-01-02 15:17:02,Margherita,1,12.99,Medium,Les Bons Plans
2026-01-02 15:17:02,Chicken and Cheddar,1,17.49,Medium,Éditions Limitées
2026-01-02 15:17:02,Steak and Cheese,2,35.98,Large,Les Grands Classiques
2026-01-02 15:29:31,Urban Kebab,1,20.49,Large,Les Originales
2026-01-02 16:17:16,Forestière,1,20.49,Large,Les Grands Classiques
2026-01-02 16:17:16,Algérienne,1,15.99,Medium,Les Grands Classiques
2026-01-02 16:18:04,Pêcheur,1,15.99,Medium,Les Grands Classiques
2026-01-02 16:18:04,Crispy Cannibale,1,23.99,XL,Les Originales
2026-01-02 16:21:20,Pêcheur,1,15.99,Medium,Les Grands Classiques
2026-01-02 16:45:33,Ultimate Meat,1,17.99,Medium,Toujours Plus
2026-01-02 17:18:18,Extravaganzza,1,23.99,XL,Toujours Plus
2026-01-02 17:18:18,Pêcheur,1,21.99,XL,Les Grands Classiques
2026-01-02 17:45:42,Pepperoni Party,1,23.49,XL,Les Iconiques
2026-01-02 17:46:17,Hawaïenne Jambon,1,20.99,XL,Les Grands Classiques
2026-01-02 17:51:33,Chicken Delight,1,21.99,XL,Les Originales
2026-01-02 17:51:33,Originale Pepperoni,1,18.99,XL,Les Bons Plans
2026-01-02 17:51:33,Beef and Cheddar,1,23.99,XL,Éditions Limitées
2026-01-02 17:51:33,Kebab and Spicy,1,18.99,Large,Les Originales
2026-01-02 17:54:04,Chicken BBQ,1,15.99,Medium,Les Grands Classiques
2026-01-02 17:54:04,Cannibale,1,17.49,Medium,Les Iconiques
2026-01-02 18:02:09,Chicken and Cheddar,1,17.49,Medium,Éditions Limitées
2026-01-02 18:02:12,Chicken BBQ,1,18.99,Large,Les Grands Classiques
2026-01-02 18:02:12,Indienne,1,18.99,Large,Les Grands Classiques
2026-01-02 18:02:12,Peppina,1,19.99,Large,Les Gourmandes Veggies
2026-01-02 18:02:12,Peppina Vegan,1,22.99,XL,Les Vegans
2026-01-02 18:12:01,Hawaïenne Jambon,2,29.98,Medium,Les Grands Classiques
2026-01-02 18:12:01,Originale Pepperoni,1,18.99,XL,Les Bons Plans
2026-01-02 18:12:01,Cannibale,1,20.49,Large,Les Iconiques
2026-01-02 18:12:13,Royale Veggie,1,21.99,XL,Les Gourmandes Veggies
2026-01-02 18:12:13,Kebab and Spicy,1,21.99,XL,Les Originales
2026-01-02 18:25:09,Chicken Delight,1,21.99,XL,Les Originales
2026-01-02 18:25:09,Pepperoni Party,1,20.49,Large,Les Iconiques
2026-01-02 18:25:09,Kebab and Spicy,1,21.99,XL,Les Originales
2026-01-02 18:25:09,Peppina Vegan,1,22.99,XL,Les Vegans
2026-01-02 18:25:25,Extravaganzza,1,23.99,XL,Toujours Plus
2026-01-02 18:25:25,Hawaïenne Jambon,1,20.99,XL,Les Grands Classiques
2026-01-02 18:25:25,Chicken and Cheddar,1,23.49,XL,Éditions Limitées
2026-01-02 18:27:50,Forestière,1,23.49,XL,Les Grands Classiques
2026-01-02 18:27:50,Pepperoni Party,1,23.49,XL,Les Iconiques
2026-01-02 18:27:50,Originale Pepperoni,1,15.99,Large,Les Bons Plans
2026-01-02 18:27:50,Cannibale,1,23.49,XL,Les Iconiques
2026-01-02 18:36:19,Ultimate Meat,1,17.99,Medium,Toujours Plus
2026-01-02 18:36:19,Pêcheur,1,21.99,XL,Les Grands Classiques
2026-01-02 18:36:19,Beef and Cheddar,1,23.99,XL,Éditions Limitées
2026-01-02 18:36:19,Kebab and Spicy,1,15.99,Medium,Les Originales
2026-01-02 18:38:01,Chicken Delight,1,18.99,Large,Les Originales
2026-01-02 18:38:01,Divine 3 Fromages,1,21.99,XL,Éditions Limitées
2026-01-02 18:38:01,Originale Pepperoni,1,15.99,Large,Les Bons Plans
2026-01-02 18:38:01,Cheesy and Veggie,1,20.99,XL,Les Gourmandes Veggies
2026-01-02 18:41:40,Originale Pepperoni,1,12.99,Medium,Les Bons Plans
2026-01-02 18:50:21,Chicken Delight,1,21.99,XL,Les Originales
2026-01-02 18:50:21,Royale Veggie,1,21.99,XL,Les Gourmandes Veggies
2026-01-02 18:50:21,Algérienne,1,18.99,Large,Les Grands Classiques
2026-01-02 18:59:32,Originale Pepperoni,1,18.99,XL,Les Bons Plans
2026-01-02 18:59:32,Urban Kebab,1,17.49,Medium,Les Originales
2026-01-02 19:05:17,Ultimate Meat,1,17.99,Medium,Toujours Plus
2026-01-02 19:05:17,Pêcheur,1,21.99,XL,Les Grands Classiques
2026-01-02 19:05:17,Hawaïenne Poulet,1,17.99,Large,Les Grands Classiques
2026-01-02 19:18:49,Divine 3 Fromages,1,21.99,XL,Éditions Limitées
2026-01-02 19:23:02,Crispy Cannibale,1,20.99,Large,Les Originales
2026-01-02 19:23:02,Urban Kebab,1,23.49,XL,Les Originales
2026-01-02 19:26:59,Cannibale,1,23.49,XL,Les Iconiques
2026-01-02 19:26:59,Margherita,1,12.99,Medium,Les Bons Plans
2026-01-02 19:32:29,Chèvre-Miel,1,18.99,Large,Les Iconiques
2026-01-02 19:35:07,Extravaganzza,1,17.99,Medium,Toujours Plus
2026-01-02 19:35:07,Hawaïenne Jambon,1,14.99,Medium,Les Grands Classiques
2026-01-02 19:35:07,Margherita,1,18.99,XL,Les Bons Plans
2026-01-02 19:38:48,Chicken BBQ,1,18.99,Large,Les Grands Classiques
2026-01-02 19:38:48,Chèvre-Miel,1,21.99,XL,Les Iconiques
2026-01-02 19:38:48,Urban Kebab,1,23.49,XL,Les Originales
2026-01-02 19:38:48,Algérienne,1,21.99,XL,Les Grands Classiques
2026-01-02 19:50:19,Pepperoni Party,1,20.49,Large,Les Iconiques
2026-01-02 20:12:09,Forestière,1,17.49,Medium,Les Grands Classiques
2026-01-02 20:12:34,Chicken BBQ,1,15.99,Medium,Les Grands Classiques
2026-01-02 20:12:34,Urban Kebab,1,23.49,XL,Les Originales
2026-01-02 20:12:34,Kebab and Spicy,1,21.99,XL,Les Originales
2026-01-02 20:12:34,Steak and Cheese,1,14.99,Medium,Les Grands Classiques
2026-01-02 20:31:06,Steak and Cheese,1,20.99,XL,Les Grands Classiques
2026-01-02 20:53:42,Peppina Vegan,1,22.99,XL,Les Vegans
2026-01-02 20:58:23,Originale Pepperoni,1,15.99,Large,Les Bons Plans
2026-01-02 21:05:06,Kebab and Spicy,1,15.99,Medium,Les Originales
2026-01-02 21:13:02,Ultimate Meat,1,17.99,Medium,Toujours Plus
2026-01-02 21:13:02,Steak and Cheese,1,17.99,Large,Les Grands Classiques
2026-01-02 21:14:55,Hawaïenne Jambon,1,14.99,Medium,Les Grands Classiques
2026-01-02 21:14:55,Forestière,1,23.49,XL,Les Grands Classiques
2026-01-02 21:14:55,Royale Veggie,1,18.99,Large,Les Gourmandes Veggies
2026-01-02 21:14:55,Algérienne,1,15.99,Medium,Les Grands Classiques
2026-01-02 21:33:10,Bacon Groovy,1,23.49,XL,Les Iconiques
2026-01-02 21:33:10,Divine 3 Fromages,1,21.99,XL,Éditions Limitées
2026-01-02 21:33:10,Super Veggie,1,17.49,Medium,Les Gourmandes Veggies
2026-01-02 21:33:10,Chicken and Cheddar,1,17.49,Medium,Éditions Limitées
2026-01-02 21:42:45,Originale Pepperoni,1,12.99,Medium,Les Bons Plans
2026-01-02 22:00:17,Chicken BBQ,1,21.99,XL,Les Grands Classiques
2026-01-02 22:00:17,Hawaïenne Jambon,1,20.99,XL,Les Grands Classiques
2026-01-02 22:00:17,Steak and Cheese,1,14.99,Medium,Les Grands Classiques
2026-01-02 22:13:24,Ultimate Meat,1,17.99,Medium,Toujours Plus
2026-01-02 22:13:24,Algérienne,1,21.99,XL,Les Grands Classiques
2026-01-02 22:13:24,Chicken and Cheddar,1,17.49,Medium,Éditions Limitées
2026-01-02 22:29:34,Peppina Vegan,1,22.99,XL,Les Vegans
2026-01-02 22:32:49,Divine 3 Fromages,1,21.99,XL,Éditions Limitées
2026-01-02 22:32:49,Crispy Cannibale,1,17.99,Medium,Les Originales
2026-01-03 11:34:10,Rocket Veggie,1,18.99,XL,Les Gourmandes Veggies
2026-01-03 11:34:10,Originale Pepperoni,1,12.99,Medium,Les Bons Plans
2026-01-03 11:34:10,Kebab and Spicy,1,18.99,Large,Les Originales
2026-01-03 11:44:50,Chicken Delight,1,18.99,Large,Les Originales
2026-01-03 11:44:50,Chèvre-Miel,1,21.99,XL,Les Iconiques
2026-01-03 11:44:50,Peppina,1,22.99,XL,Les Gourmandes Veggies
2026-01-03 11:44:50,Urban Kebab,1,20.49,Large,Les Originales
2026-01-03 11:57:39,Divine 3 Fromages,1,21.99,XL,Éditions Limitées
2026-01-03 12:26:44,Cannibale,1,17.49,Medium,Les Iconiques
2026-01-03 12:26:44,Peppina Vegan,1,19.99,Large,Les Vegans
2026-01-03 13:16:01,Extravaganzza,1,20.99,Large,Toujours Plus
2026-01-03 13:33:59,Super Veggie,1,20.49,Large,Les Gourmandes Veggies
2026-01-03 13:41:36,Chicken Delight,1,15.99,Medium,Les Originales
2026-01-03 13:41:36,Extravaganzza,1,17.99,Medium,Toujours Plus
2026-01-03 13:41:36,Hawaïenne Jambon,1,20.99,XL,Les Grands Classiques
2026-01-03 13:41:36,Royale Veggie,1,18.99,Large,Les Gourmandes Veggies
2026-01-03 13:41:36,Originale Pepperoni,1,18.99,XL,Les Bons Plans
2026-01-03 13:41:36,Cannibale,1,17.49,Medium,Les Iconiques
2026-01-03 13:41:36,Hawaïenne Poulet,1,20.99,XL,Les Grands Classiques
2026-01-03 13:41:36,Peppina Vegan,1,19.99,Large,Les Vegans
2026-01-03 13:44:28,Chicken BBQ,3,56.97,Large,Les Grands Classiques
2026-01-03 13:44:28,Ultimate Meat,1,17.99,Medium,Toujours Plus
2026-01-03 13:44:28,Chicken Delight,1,21.99,XL,Les Originales
2026-01-03 13:44:28,Bacon Groovy,1,20.49,Large,Les Iconiques
2026-01-03 13:44:28,Divine 3 Fromages,1,21.99,XL,Éditions Limitées
2026-01-03 13:44:28,Chèvre-Miel,1,21.99,XL,Les Iconiques
